,Sample Name,Region,variable,hand_value,chromatopy_value,chromatopy_value_lower,chromatopy_value_upper,hand_fa,chromatopy_fa,chromatopy_fa_lower,chromatopy_fa_upper,chromatopy_fractional_abundance,chromatopy_fractional_abundance_lower,chromatopy_fractional_abundance_upper,chromatopy_fractional_abundance_combined_error,hand_fractional_abundance
1640,H2202081,marine offshore NW Africa,GDGT-4',29100.4,481.1694933,0.17408679999999777,0.18285309999998844,0.0009723339704093771,0.0009987807835243375,2.8054535400442628e-05,2.851227502383305e-05,0.02894536547785859,0.00048104448525318477,0.0005335289165321335,0.0005072867008926591,0.028336366133756577
1641,H2202085,marine offshore NW Africa,GDGT-4',64475.5,1058.24027,0.4498360000000048,0.5863859999999477,0.0021543249889736838,0.002196627302322798,2.8626917909864318e-05,2.934990274473372e-05,0.03305686249960366,0.0005423900979194935,0.0006259312325053493,0.0005841606652124214,0.03231553996781051
1642,H2202087,marine offshore NW Africa,GDGT-4',28150.1,447.3951139,0.2670732000000271,0.29545139999999037,0.0009405815212306705,0.000928674092244248,2.8247550607645787e-05,2.8745999355619383e-05,0.028057017741814416,0.0007795484306425972,0.000820199127907059,0.0007998737792748281,0.02828551806130198
1643,H2202121,Lake Malawi tropical,GDGT-4',962125.0,0.0,0.0,0.0,0.0321475588404325,0.0,,,0.0,,,,0.019152119234122255
1644,H2202124,Lake Malawi tropical,GDGT-4',549942.0,0.0,0.0,0.0,0.018375255610056,0.0,,,0.0,,,,0.02323615595927447
1645,H2204044,Lake Malawi tropical,GDGT-4',1156380.0,0.0,0.0,0.0,0.03863821654348378,0.0,,,0.0,,,,0.03983488423604679
1646,H2204051,Lake Malawi tropical,GDGT-4',687126.0,10648.4113,2.747369999999137,2.5801900000005844,0.02295899546918646,0.022103289442899954,3.339599167835075e-05,3.348851325317884e-05,0.03404304101796227,0.0008697129872050178,0.0009774271775544387,0.0009235700823797283,0.03570695855572039
1647,H2305009,Issyk Kul mid latitude Asia,GDGT-4',270107.0,0.0,0.0,0.0,0.009025106587722698,0.0,,,0.0,,,,0.007404405800594404
1648,H2305015,Issyk Kul mid latitude Asia,GDGT-4',12416.2,0.0,0.0,0.0,0.00041486347415832454,0.0,,,0.0,,,,0.005120764750140523
1649,H2306009,Issyk Kul mid latitude Asia,GDGT-4',20308.5,0.0,0.0,0.0,0.0006785695192526162,0.0,,,0.0,,,,0.005912131034377957
1650,H2306028,Issyk Kul mid latitude Asia,GDGT-4',41197.6,0.0,0.0,0.0,0.0013765386722978843,0.0,,,0.0,,,,0.005085553435313097
1652,H2307065,Alaska Loess,GDGT-4',2722.33521,0.0,0.0,0.0,9.096160202349609e-05,0.0,,,0.0,,,,0.00596050261628066
1653,H2307071,Alaska Loess,GDGT-4',0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0
1654,H2308003,lake in Croatia,GDGT-4',1128.82251,18.04512677,0.017893130000000923,0.02110839999999925,3.7717435947127144e-05,3.745691716764663e-05,2.7730318594771466e-05,2.8176535745997796e-05,0.012055396453139567,0.0011273095369831905,0.0012582919465260896,0.00119280074175464,0.011990203116816086
1655,H2308005,lake in Croatia,GDGT-4',4033.3335,65.20675115,0.07753017999999656,0.0811594700000029,0.0001347660917389503,0.00013535199324049397,2.7854109359471794e-05,2.830118590686883e-05,0.010816568355578347,0.0013065759552834434,0.0013524955692222262,0.0013295357622528348,0.010589668041919862
1656,H2308012,lake in Croatia,GDGT-4',3914.58228,64.11444219,0.05638337000000604,0.050364189999996256,0.00013079824781812594,0.00013308464833581762,2.7810214167122882e-05,2.823726303911528e-05,0.04680362365094422,0.0011728873016858008,0.001064554054965328,0.0011187206783255643,0.04426826296156599
1658,H1608000013,marine offshore NW Australia,GDGT-4',1188000.0,17841.83114,6.1420299999990675,5.869880000002013,0.03969473810828511,0.03703492913339717,4.0442409254297806e-05,4.031704083338652e-05,0.0357084967410414,0.0008593412581156526,0.0009792564948354558,0.0009192988764755542,0.038441986415223284
1659,H1608000014,marine offshore NW Australia,GDGT-4',1031860.0,15619.58515,9.427160000001095,6.963469999998779,0.034477619919541305,0.032422133388900175,4.726147147887574e-05,4.258704483875298e-05,0.04104727077868816,0.0008405687606051875,0.000721678140791305,0.0007811234506982462,0.04388719426741867
1660,H1805000003,Lake El gygytgyn,GDGT-4',0.0,2.145678642,0.046114816000000225,0.04521427300000003,0.0,4.453862152711411e-06,2.7788899361108375e-05,2.8226573171598814e-05,0.004313802035479142,0.02150328839101771,0.021084153413296967,0.021293720902157337,0.0
1661,H1805000004,Lake El gygytgyn,GDGT-4',0.0,1.981129609,0.023148957999999942,0.023177355000000066,0.0,4.112301820237373e-06,2.7741228305551145e-05,2.8180830350133657e-05,0.0008278351130436249,0.011735712339344907,0.011751838095442266,0.011743775217393587,0.0
1662,H1805000008,Lake El gygytgyn,GDGT-4',0.0,1.002490698,0.0017973669999999942,0.0019060200000000638,0.0,2.0809059152052854e-06,2.7696908041932157e-05,2.8136676676773774e-05,0.001326462590213137,0.0021411763944827068,0.0022356727169636657,0.0021884245557231862,0.0
1663,H2301003,marine surface mud offshore NJ,GDGT-4',308021.0,0.0,0.0,0.0,0.010291930073107818,0.0,,,0.0,,,,0.010429466298969525
1664,H1608000189,ODP Site 846 Miocene,GDGT-4',150000.0,2246.232176,1.3664130000001933,2.1543510000001334,0.0050119618823592305,0.00466258473149727,3.0529489679205074e-05,3.260458396007527e-05,0.045555481203124734,0.0008136458300344798,0.00109132596678002,0.00095248589840725,0.048212686602784
1665,H1608000191,ODP Site 846 Miocene,GDGT-4',124674.0,1951.464496,0.9446020000000317,0.9824710000000323,0.004165742238141698,0.004050724880680641,2.9653921450242818e-05,3.0172070592344272e-05,0.04966392704229908,0.0007611062275545927,0.0007397913349281653,0.000750448781241379,0.050157766399518515
1666,H1608000196,ODP Site 846 Miocene,GDGT-4',12278.8,191.7828676,0.09235749999999143,0.11036939999999618,0.00041027251707408347,0.0003980905802119195,2.788488695965919e-05,2.8361818006738665e-05,0.0469964974958499,0.0006630198837495268,0.0007529566802323292,0.000707988281990928,0.04821499328909712
1667,H2102002,ODP Site U1540 Plio-Pleistocene,GDGT-4',7341.36,0.0,0.0,0.0,0.0002452974432311784,0.0,,,0.0,,,,0.016395047263591762
1668,H2102003,ODP Site U1540 Plio-Pleistocene,GDGT-4',5935.43,94.91176535,0.06518187999999725,0.07979905000000542,0.00019832099276940966,0.00019701175714988137,2.7828477550055515e-05,2.8298362034257535e-05,0.03703602263523167,0.0007892681454114743,0.0009134648539199091,0.0008513664996656917,0.037791010287769634
1669,H2102004,ODP Site U1540 Plio-Pleistocene,GDGT-4',0.0,84.49373506,0.7769147099999998,0.8338437499999998,0.0,0.0001753866778364284,2.9305846925100632e-05,2.9863559676180375e-05,0.03505306437245462,0.009207863762682737,0.009882172136278757,0.009545017949480747,0.0
1670,H1801000259,Lake Bolshoye Shchuchye,GDGT-4',1174.0896,0.0,0.0,0.0,3.922994881116264e-05,0.0,,,0.0,,,,0.008305834660191976
1671,H1801000260,Lake Bolshoye Shchuchye,GDGT-4',3990.03052,0.0,0.0,0.0,0.0001333192058379332,0.0,,,0.0,,,,0.005192383871701874
1672,H1801000261,Lake Bolshoye Shchuchye,GDGT-4',17376.3,0.0,0.0,0.0,0.000580595688376258,0.0,,,0.0,,,,0.00553646639794749
1673,H1801000262,Lake Bolshoye Shchuchye,GDGT-4',1811.82483,0.0,0.0,0.0,6.053864656981329e-05,0.0,,,0.0,,,,0.004476406673516525
1674,H1801000263,Lake Bolshoye Shchuchye,GDGT-4',23151.1,0.0,0.0,0.0,0.0007735495382312452,0.0,,,0.0,,,,0.005437826656336148
1675,H1801000264,Lake Bolshoye Shchuchye,GDGT-4',5214.2793,0.0,0.0,0.0,0.00017422512730383183,0.0,,,0.0,,,,0.007183234585816683
1676,H1801000265,Lake Bolshoye Shchuchye,GDGT-4',6104.7666,0.0,0.0,0.0,0.00020397904999933173,0.0,,,0.0,,,,0.008198376422886622
1677,H1801000266,Lake Bolshoye Shchuchye,GDGT-4',21046.1,0.0,0.0,0.0,0.0007032150064821373,0.0,,,0.0,,,,0.005233191064449527
1678,H1801000267,Lake Bolshoye Shchuchye,GDGT-4',11656.1,0.0,0.0,0.0,0.00038946619264644956,0.0,,,0.0,,,,0.006107570603114803
1679,H1801000268,Lake Bolshoye Shchuchye,GDGT-4',13307.5,0.0,0.0,0.0,0.0004446445516633031,0.0,,,0.0,,,,0.005479804383234067
1680,H1712000039,Lake Bolshoye Shchuchye,GDGT-4',0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0
