Sample Name,Standard,Standard_lower_ci,Standard_upper_ci,GDGT-0,GDGT-0_lower_ci,GDGT-0_upper_ci,GDGT-1,GDGT-1_lower_ci,GDGT-1_upper_ci,GDGT-2,GDGT-2_lower_ci,GDGT-2_upper_ci,GDGT-3,GDGT-3_lower_ci,GDGT-3_upper_ci,GDGT-4,GDGT-4_lower_ci,GDGT-4_upper_ci,GDGT-4',GDGT-4'_lower_ci,GDGT-4'_upper_ci,IIIa,IIIa_lower_ci,IIIa_upper_ci,IIIa',IIIa'_lower_ci,IIIa'_upper_ci,IIIb,IIIb_lower_ci,IIIb_upper_ci,IIIb',IIIb'_lower_ci,IIIb'_upper_ci,IIIc,IIIc_lower_ci,IIIc_upper_ci,IIIc',IIIc'_lower_ci,IIIc'_upper_ci,IIa,IIa_lower_ci,IIa_upper_ci,IIa',IIa'_lower_ci,IIa'_upper_ci,IIb,IIb_lower_ci,IIb_upper_ci,IIb',IIb'_lower_ci,IIb'_upper_ci,IIc,IIc_lower_ci,IIc_upper_ci,IIc',IIc'_lower_ci,IIc'_upper_ci,Ia,Ia_lower_ci,Ia_upper_ci,Ib,Ib_lower_ci,Ib_upper_ci,Ic,Ic_lower_ci,Ic_upper_ci
H1801000123,11888.48481,11876.35851,11901.90392,22592.74082,22554.57946,22633.06315,4284.960225,4281.967145,4288.559696,1235.202338,1228.02298,1241.670645,234.3526636,234.128894,234.5835282,35621.24736,35573.90132,35668.4354,0,0,0,41607.53408,41553.72998,41652.30592,18308.2066,18282.29977,18337.52612,2896.780813,2892.879594,2899.51162,1292.751568,1281.792033,1305.913524,1465.949025,1462.35139,1469.425066,463.4172386,462.883689,464.0831543,14324.42233,14302.68778,14351.46335,12226.90094,12214.53309,12238.90014,11530.876,11475.79297,11583.93751,0,0,0,3430.764771,3420.482694,3439.385987,0,0,0,12287.90282,12275.74961,12297.13748,4592.346705,4587.612547,4596.84763,2324.780587,2322.321699,2327.965309
H1801000267,13033.1193,13020.38238,13044.50402,11840.91414,11822.91419,11865.14611,1327.293976,1326.010249,1329.202826,520.9394584,519.1352165,522.7467667,253.8594026,253.5824081,254.1346565,16845.37865,16821.76552,16864.76579,0,0,0,16157.59167,16122.19556,16183.61965,4216.417963,4205.453826,4226.964293,1185.013086,1183.552948,1186.63228,0,0,0,363.8775931,363.2611552,364.4465927,140.4648205,140.2594757,140.7327803,7261.194202,7254.090849,7267.188452,4062.441667,4056.135243,4070.391616,1459.201859,1456.832123,1461.258674,824.6732123,823.6195992,825.849268,209.0660865,208.8623632,209.2679325,89.88340501,89.71513264,90.07633326,7098.54737,7090.393829,7105.305543,1251.897569,1250.52375,1252.966992,240.6576374,238.2735432,243.235421
H1801000119,7514.830869,7506.412329,7521.39499,13400.3337,13382.75684,13418.17711,1242.162944,1240.126647,1243.966757,289.1240343,280.0698379,298.5685656,155.9174809,155.7768939,156.0746795,16211.22228,16194.42752,16229.86412,0,0,0,16588.58915,16530.84149,16656.4242,5639.93569,5622.647467,5659.54263,1178.420139,1177.103295,1180.136892,418.5440673,417.8450162,419.3977206,663.8287364,662.7285199,664.7089479,88.45145516,88.28434976,88.58570859,7889.383489,7879.673468,7897.819367,6521.862603,6514.305777,6528.149405,3027.993644,3025.428553,3031.347873,651.3684202,649.9563475,652.7840107,840.1755031,838.8457855,841.7480257,184.1920423,182.9542429,185.5334349,7351.674038,7345.086153,7358.626275,1706.24448,1705.194097,1707.328156,557.8655032,557.2045564,558.827073
H1712000048,5298.990547,5291.812995,5305.893222,1678.422045,1674.259206,1682.470855,388.0907641,386.4423758,389.6262991,229.1630209,228.0278881,230.2685128,63.8575529,63.7709615,63.94632645,2264.239781,2261.59622,2267.207125,0,0,0,9217.596365,9201.34168,9231.275452,4045.628947,4040.344215,4052.445371,818.9986481,817.7723973,820.0770271,289.7076147,289.174966,290.2760548,339.8750213,339.3979728,340.3210582,81.74382329,81.61741819,81.85857379,4769.269796,4764.280934,4777.369303,3605.793064,3600.859029,3611.690352,1519.49015,1518.581743,1520.4251,575.920429,575.0971816,576.8249102,277.2221098,276.913057,277.5677586,115.5231727,115.1879455,115.8203334,4057.111471,4052.525333,4060.92134,1206.4628,1205.55032,1207.093323,227.2239,226.3508998,228.324016
H1805000003,7769.298466,7764.294599,7774.202049,275.734789,275.415871,276.0562568,72.26429815,72.193735,72.33098713,100.1453696,100.0587999,100.2446411,1.412817631,1.378733192,1.445565477,45.6955424,45.6394251,45.75391159,2.145678642,2.099563826,2.190892915,5021.527799,5017.838573,5025.701292,0,0,0,253.9013882,253.3904632,254.2881423,67.15725563,67.0536123,67.25766571,233.4883551,233.2242467,233.7922189,0,0,0,3381.891426,3373.452847,3391.693561,0,0,0,1260.976523,1259.988528,1262.037647,0,0,0,175.7355496,175.4449534,176.0685438,0,0,0,4391.427153,4388.158058,4394.399392,2071.093074,2069.681161,2072.583846,218.9496146,218.7403648,219.1339779
H1801000115,7541.006186,7533.995309,7548.786676,8454.561318,8444.739051,8462.362274,891.7678584,890.3236058,893.3348481,372.7576399,370.2349829,375.1047585,174.1179285,173.9298768,174.2947107,12086.4655,12073.97065,12097.10089,0,0,0,7583.629321,7566.630691,7598.424425,3133.936759,3126.71864,3143.591522,1280.145987,1278.390511,1281.591595,309.9772385,309.0905319,310.8720151,489.4640081,487.1274312,492.2409092,129.9911558,129.7945957,130.1362119,3952.210177,3948.158481,3956.456532,2850.418099,2847.283863,2854.098928,1502.057111,1501.178228,1503.065692,588.8686613,587.8883951,590.0098269,256.9750296,256.8882043,257.0871115,78.57378615,78.4609911,78.68397482,3805.29936,3801.192182,3808.975347,1107.116006,1106.259704,1108.093774,174.4322182,174.2575427,174.6197287
H1712000044,5181.138797,5173.617941,5188.613569,4985.026546,4973.611617,4992.859005,557.9617502,557.3434291,558.5835198,348.2244733,347.8491757,348.5621997,124.3748243,124.1965501,124.5321055,7390.013312,7381.394441,7399.338031,0,0,0,8422.818652,8414.920345,8432.503773,2220.483451,2217.231773,2224.292304,696.269526,695.3525495,697.0843913,184.9569181,184.5901357,185.3280735,240.5640901,240.2728741,240.8585288,41.03736453,41.00384259,41.06656441,3175.736171,3172.643775,3178.329542,2343.346764,2340.096937,2346.671738,993.0894401,991.9461744,994.2472137,595.5962117,594.2275058,596.7979201,158.6591194,158.3282743,158.9868494,50.92993614,50.62500464,51.21483081,2998.546172,2995.284775,3001.372601,768.3026963,767.6573227,768.932536,126.9137761,125.6444925,127.9642656
H1608000196,6158.274426,6156.248323,6160.392444,1194.281732,1192.863291,1195.845813,284.6562328,284.4805715,284.8615311,259.5146621,259.1695093,259.8339382,31.88731627,31.85828126,31.91849854,2118.66784,2117.533304,2119.817787,191.7828676,191.6905101,191.893237,13.47812207,13.4513615,13.50376722,1.342579408,1.325433147,1.359338168,0,0,0,1.725333818,1.675035198,1.770934744,0.420420569,0.368665818,0.475681543,2.534265989,2.523959698,2.543873975,13.98702446,13.91670055,14.03329131,1.199988548,1.048794749,1.355716376,26.3001633,26.22333285,26.38159533,0,0,0,3.358481119,3.335801181,3.386391981,7.965822469,7.905361747,8.015840452,21.47308354,21.42333844,21.5181658,3.155736341,3.138203356,3.174858693,0.576875274,0.573906047,0.580211832
H2301003,10894.75369,10880.63532,10911.56293,210019.9815,209813.9553,210238.262,19461.70726,19447.89209,19473.57875,10993.3109,10969.43727,11015.68003,3336.474169,3334.254342,3339.630462,227201.7973,227008.175,227389.5583,0,0,0,17221.09012,17214.52351,17229.15866,7451.90655,7444.608541,7459.483573,867.1664775,866.3165596,868.1011728,876.8385331,875.3299093,878.087835,256.6479223,256.3470228,256.9808729,340.731886,339.8208117,341.7520066,37713.4181,37697.37261,37738.33979,12256.9825,12229.69209,12278.98462,6292.724104,6289.367685,6296.075766,5473.162887,5461.715228,5484.034072,1192.259423,1191.046619,1193.413027,1406.514973,1403.475556,1409.342244,70711.79073,70675.50668,70742.80639,11589.73319,11585.45268,11593.90356,4238.344541,4236.68378,4239.809152
H1801000114,4104.354355,4100.820587,4108.95899,629.5515486,628.9994389,630.5227282,157.0633142,156.786995,157.2759447,105.0514522,104.6836575,105.4382417,49.69714769,49.6207497,49.79475295,709.8429727,709.0372269,710.5678392,17.57283213,17.5182034,17.61685781,1951.813578,1949.401752,1954.471998,442.9326887,442.1560578,444.0229415,72.5853891,72.53008704,72.65119833,39.04084442,38.76462193,39.33686882,25.11813243,25.09137193,25.14250292,8.853352222,8.796984454,8.904977816,1202.322477,1201.248133,1203.87578,753.5593677,752.5763648,754.81034,214.157701,213.8521537,214.435018,174.3452937,173.9263798,174.7592624,31.66499342,31.62903499,31.69170056,14.29081789,14.23918246,14.34159444,1573.286499,1572.1313,1574.433832,317.1260067,316.8186324,317.4007419,46.37012933,46.10148188,46.60295863
