,Sample Name,Standard,Standard_lower_ci,Standard_upper_ci,GDGT-0,GDGT-0_lower_ci,GDGT-0_upper_ci,GDGT-1,GDGT-1_lower_ci,GDGT-1_upper_ci,GDGT-2,GDGT-2_lower_ci,GDGT-2_upper_ci,GDGT-3,GDGT-3_lower_ci,GDGT-3_upper_ci,GDGT-4,GDGT-4_lower_ci,GDGT-4_upper_ci,GDGT-4',GDGT-4'_lower_ci,GDGT-4'_upper_ci,IIIa,IIIa_lower_ci,IIIa_upper_ci,IIIa',IIIa'_lower_ci,IIIa'_upper_ci,IIIb,IIIb_lower_ci,IIIb_upper_ci,IIIb',IIIb'_lower_ci,IIIb'_upper_ci,IIIc,IIIc_lower_ci,IIIc_upper_ci,IIIc',IIIc'_lower_ci,IIIc'_upper_ci,IIa,IIa_lower_ci,IIa_upper_ci,IIa',IIa'_lower_ci,IIa'_upper_ci,IIb,IIb_lower_ci,IIb_upper_ci,IIb',IIb'_lower_ci,IIb'_upper_ci,IIc,IIc_lower_ci,IIc_upper_ci,IIc',IIc'_lower_ci,IIc'_upper_ci,Ia,Ia_lower_ci,Ia_upper_ci,Ib,Ib_lower_ci,Ib_upper_ci,Ic,Ic_lower_ci,Ic_upper_ci
1,H1608000013,10366.69168,141.6810975,86.93032205,117408.946,4257.522807,5448.568555,44745.7594,708.3537984,755.0909712,45019.39936,631.3934831,574.9726603,19919.60833,131.8880068,138.071853,250670.1777,3164.149718,2607.606097,19028.87277,337.6119167,212.2981733,7847.051495,86.39463967,90.07738571,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,7654.191076,7599.411078,411.021385,3514.308578,1872.63711,388.7533993,1499.892921,1484.917465,55.87411732,2402.92847,148.8023261,65.32352577,71202.32356,2795.489883,2850.634874,34387.44594,386.5730576,291.4591286,19415.68248,123.4990819,118.3411018
2,H1608000014,8581.835142,8431.959474,174.6755065,76923.61252,2202.828174,2666.565563,32302.06266,6547.63632,621.2785738,33262.99206,483.5560577,474.9125036,14794.84598,191.7963244,166.655735,205193.0358,2183.527166,1970.871922,16628.51543,190.6129759,162.183259,0.0,0.0,0.0,4525.007792,74.44747185,102.0009111,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,5754.040196,652.9798344,729.5972365,5479.638178,746.6317985,703.3609117,3589.656691,3550.089748,215.1610915,2649.320345,165.4540609,163.1166985,973.9265497,970.1612225,39.43510455,1348.928266,34.08052193,37.2508699,42996.84142,525.7965379,626.2867669,21538.99548,171.5231601,174.4153081,13367.60033,50.31852652,62.43639935
3,H1608000189,607.7854483,19.9078153,21.48591772,14006.50308,2389.214638,490.9118524,3386.272578,272.3156497,101.4338686,3266.204069,60.69103576,70.4153379,568.0298516,12.84599892,14.98503885,25397.79405,418.092399,442.96941,2437.710971,93.46841934,35.85228252,147.4237582,12.31025368,12.87725926,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,13.65383998,7.941255886,3.559561648,108.6979662,7.343604707,8.85583657,122.1752186,96.93068586,243.2160933,249.7646238,6.269979795,6.122047481,0.0,0.0,0.0,0.0,0.0,0.0,85.54417172,1.604158749,2.227982873,263.6011091,13.22278442,8.8670381,70.41740359,1.374601047,1.735857873,28.74987211,22.54424418,1.785395336
4,H1608000191,20871.61342,632.9287832,196.6082301,11434.34125,492.8010453,502.9369057,2568.475296,151.0759605,67.20191857,2659.351224,62.34643199,62.58182132,373.3711876,9.814628405,12.36436973,19589.0625,378.3918393,419.4528305,2026.226913,37.97609179,22.70871482,2.332136526,0.469178306,0.780870102,0.0,0.0,0.0,0.0,0.0,0.0,73.3837321,64.27246549,124.9286275,2.633572946,0.257657764,0.337754175,0.0,0.0,0.0,60.08818419,58.29138127,15.22300424,1.29708598,0.277604934,0.549935876,158.4686844,23.00887932,23.0315819,0.0,0.0,0.0,0.0,0.0,0.0,53.66075137,47.79259367,71.87146825,189.1529625,184.0160616,9.483631172,29.52804468,10.49933689,2.91123685,11.69728005,5.504532497,5.729780118
5,H1608000196,6158.274426,48.76165893,48.2113969,1194.281732,29.96841203,25.85580051,284.6562328,4.070085402,4.232688225,259.5146621,6.058528617,6.129836392,31.88731627,0.585141731,0.572224371,2118.66784,22.86261903,19.35070584,191.7828676,2.509404009,2.195287869,13.47812207,0.522472963,0.408379427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.534265989,0.180017158,0.188632091,13.98702446,1.226178751,1.119375189,0.0,0.0,0.0,26.3001633,1.467654432,1.370718425,0.0,0.0,0.0,3.358481119,0.401065887,0.412345889,7.965822469,1.117679199,1.247973023,21.47308354,1.047007341,0.794844843,3.155736341,0.448108466,0.292108217,0.0,0.0,0.0
6,H1712000039,5208.994384,26.03753018,23.80945245,5313.517674,54.76318748,60.48191294,587.0634904,12.62416831,13.13621532,328.0958764,9.581688869,9.760894021,107.5074966,2.615392188,2.43525796,9156.273357,61.58983628,59.17407095,0.0,0.0,0.0,6330.056819,153.0930858,152.4070385,1621.010624,55.10811218,49.70652873,337.4992592,2.716804926,2.891259551,134.4239187,7.260303731,5.183671167,82.67088488,5.54945342,3.780787327,80.27433344,2.310628249,2.613762758,2208.189268,19.12445329,15.93909086,1074.760041,25.74696316,24.26062816,388.1762003,6.747182613,6.939457082,258.5396547,9.268251597,8.139510309,57.30039284,0.873039014,0.840004721,0.0,0.0,0.0,2514.786212,50.50145883,51.82353642,440.5377324,11.03254982,10.25298511,81.66019467,1.398586516,1.567133192
7,H1712000040,4731.330807,18.86075941,20.33915301,2330.044385,25.57131217,25.87627915,288.1242013,4.387506544,4.320792428,199.4293719,7.009333027,7.322564211,46.5908779,5.089783297,5.700574461,3329.817972,25.01003928,25.57921292,30.03830341,13.82174408,3.352479782,5113.052142,110.4690211,138.5385029,1192.500366,41.00968584,35.58688996,326.4794539,4.471057538,4.449350082,142.190868,8.744593858,9.847709726,72.17335698,2.659968846,2.58005777,54.27208582,3.078000987,2.476476831,2059.306908,21.43824614,18.65750575,891.7638516,46.35715858,46.77146853,323.3622588,4.073023813,3.738647588,215.4736105,4.544597522,4.429695507,48.2542724,1.15906018,0.814838544,0.0,0.0,0.0,2699.740864,50.59695504,43.02124723,368.2734608,13.89708393,13.057368,71.89836966,2.52009579,1.993041141
8,H1712000041,4846.435346,125.7683022,112.9073868,2166.781981,21.49347033,20.85285206,246.4858025,5.561716576,5.72900219,209.0871392,8.357360352,9.145788259,38.26492994,3.1167564,3.33820591,3275.490297,21.28745292,25.57208334,25.31785002,8.774202249,2.964930043,3655.104004,169.8490762,128.5755216,932.1329016,21.87565804,21.3055826,543.4845011,22.43947961,21.86352264,120.3057989,4.603272434,4.676621244,148.6928792,3.525079321,2.991756842,61.17638029,2.55910165,1.45292425,1223.181509,22.91629681,21.95388268,569.6937148,45.37582452,48.87370265,353.2839914,6.911124454,7.36972737,197.9068037,7.033734887,6.825118207,52.42715008,0.910041898,0.810378246,20.82678845,2.329163167,0.997669816,1467.495551,30.28087781,32.88460401,262.9684553,9.504766118,10.89500021,53.66467176,2.35940003,1.470709673
9,H1712000042,4932.868263,29.0143454,26.92398379,4010.739935,33.52687619,34.80133168,399.7193321,19.17069623,16.94709701,313.6439868,23.68586456,23.40950458,49.94772419,1.933839414,1.937210309,6153.494988,39.85291749,42.20807831,0.0,0.0,0.0,3843.915919,92.97700688,106.2367358,1255.552725,83.15876667,46.58160685,444.4081913,6.763937749,6.954923828,124.1705694,10.70453701,7.14073823,139.5321053,4.763796583,3.7014191,53.20325562,2.464745993,1.889433552,1803.457522,42.2686449,44.88397673,1064.341995,41.75645278,32.41883232,510.0981345,13.24847305,14.51738262,261.4939393,9.492435619,10.10022757,71.77700705,1.127044379,1.025087358,29.60960873,2.270982521,1.710996816,2362.215146,54.48902403,48.73182851,421.5432094,12.89353657,12.12280656,72.5473091,2.091615126,1.704672028
10,H1712000043,4929.383605,30.88680619,34.59107768,5748.736777,67.46586764,60.4782392,565.9819882,15.92537756,14.64276584,376.0284127,25.66674255,23.56879772,75.75599564,2.305276887,2.567914387,8521.096032,58.36391113,60.35019026,0.0,0.0,0.0,5116.980857,128.4572212,136.1434032,1907.998594,206.757815,114.7637322,457.9382743,7.207875312,7.40157564,131.652453,6.150303858,7.692455806,157.4566578,7.55064937,5.241338022,50.8026938,1.356835158,1.269801565,2078.485831,16.4093086,16.62316254,1190.80695,500.1195326,575.3933145,645.7652883,8.202014879,9.867664069,336.9424473,14.45781863,12.11859524,99.78899327,3.804416668,3.255823471,35.19949795,0.915646265,0.738747073,2668.290888,43.87126488,47.0617307,628.5377397,12.28553055,12.86993055,91.06163782,2.126029044,1.650314802
