,Sample Name,Standard_x,Standard_lower_ci_x,Standard_upper_ci_x,IIIa,IIIa_lower_ci,IIIa_upper_ci,IIIa',IIIa'_lower_ci,IIIa'_upper_ci,IIIb,IIIb_lower_ci,IIIb_upper_ci,IIIb',IIIb'_lower_ci,IIIb'_upper_ci,IIIc,IIIc_lower_ci,IIIc_upper_ci,IIIc',IIIc'_lower_ci,IIIc'_upper_ci,IIa,IIa_lower_ci,IIa_upper_ci,IIa',IIa'_lower_ci,IIa'_upper_ci,IIb,IIb_lower_ci,IIb_upper_ci,IIb',IIb'_lower_ci,IIb'_upper_ci,IIc,IIc_lower_ci,IIc_upper_ci,IIc',IIc'_lower_ci,IIc'_upper_ci,Ia,Ia_lower_ci,Ia_upper_ci,Ib,Ib_lower_ci,Ib_upper_ci,Ic,Ic_lower_ci,Ic_upper_ci,Standard_y,Standard_lower_ci_y,Standard_upper_ci_y,GDGT-0,GDGT-0_lower_ci,GDGT-0_upper_ci,GDGT-1,GDGT-1_lower_ci,GDGT-1_upper_ci,GDGT-2,GDGT-2_lower_ci,GDGT-2_upper_ci,GDGT-3,GDGT-3_lower_ci,GDGT-3_upper_ci,GDGT-4,GDGT-4_lower_ci,GDGT-4_upper_ci,GDGT-4',GDGT-4'_lower_ci,GDGT-4'_upper_ci
0,H1801000123,11933,11919,11950,43002,42952,43056,20833,20771,20891,3131,3129,3134,1584,1412,1775,1466,1454,1475,554,551,555,14558,14538,14575,12792,12770,12814,11585,11440,11717,0,0,0,3528,3519,3537,0,0,0,12531,12519,12541,4669,4664,4675,2345,2342,2347,11952,11935,11966,22667,22643,22701,4402,4399,4406,1253,1249,1257,242,242,243,35795,35744,35844,0,0,0
1,H1801000267,13101,13084,13115,15589,15525,15661,5033,5016,5050,1280,1279,1282,371,371,372,386,385,387,159,159,159,7364,7357,7372,4410,4403,4417,1530,1528,1532,913,912,914,219,219,219,108,107,108,7194,7187,7201,1292,1291,1293,252,252,253,13117,13102,13130,11841,11821,11861,1363,1361,1364,869,868,870,263,262,263,16912,16892,16931,131,129,132
2,H2307066,5493,5487,5498,802773,781766,819185,32361,32335,32393,1187,1184,1190,2673,2664,2681,366,365,367,0,0,0,726864,722111,730988,0,0,0,6321,6308,6331,1936,1931,1941,4566,4561,4569,0,0,0,256438,256102,256686,8170,8166,8173,845,844,846,5497,5493,5501,20254,20244,20262,2371,2369,2373,1003,1001,1005,237,237,238,7364,7360,7369,153,152,153
3,H1801000119,7551,7543,7559,16654,16612,16706,5638,5618,5657,1263,1262,1265,519,518,521,682,681,683,106,105,106,8039,8032,8048,6682,6674,6690,2640,2632,2646,784,783,786,846,844,847,236,233,240,7510,7501,7519,1742,1741,1743,565,564,566,7553,7545,7559,13489,13469,13507,1264,1262,1266,290,283,299,159,159,159,16250,16232,16264,0,0,0
4,H1712000048,5317,5310,5324,9484,9468,9497,4483,4474,4491,862,860,863,356,355,356,347,346,347,89,89,89,4859,4854,4864,3718,3711,3724,1559,1558,1560,625,624,626,283,283,283,111,111,112,4142,4138,4147,1226,1225,1227,235,234,235,5320,5312,5327,1689,1686,1692,428,427,429,227,226,227,62,62,62,2264,2261,2269,28,28,29
5,H1805000003,7913,7905,7919,5179,5175,5184,259,254,263,275,275,276,63,63,63,237,237,238,0,0,0,3454,3443,3465,0,0,0,1286,1285,1287,0,0,0,179,178,179,0,0,0,4321,4313,4329,2095,2093,2096,222,222,222,7912,7904,7918,279,279,280,76,76,76,104,104,104,4,4,4,47,47,47,0,0,0
6,H1801000115,7575,7568,7583,7657,7645,7670,3131,3121,3138,1353,1352,1355,409,408,410,536,535,537,144,143,144,4042,4037,4046,2950,2946,2955,1547,1546,1548,720,719,723,265,265,265,85,85,85,3877,3872,3882,1133,1132,1135,179,179,179,7566,7558,7572,8497,8487,8508,907,905,909,639,638,640,171,171,171,12118,12106,12131,93,93,94
7,H1712000044,5197,5186,5207,8737,8720,8758,2613,2606,2620,733,732,734,0,0,0,249,248,249,48,48,48,3274,3271,3277,2457,2453,2460,1028,1026,1029,632,631,634,159,159,160,45,44,47,3056,3052,3059,732,732,733,135,135,136,5203,5193,5214,5016,5007,5027,581,580,582,362,362,363,121,120,121,7408,7398,7417,67,67,67
8,H1608000196,6168,6166,6170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6167,6165,6170,1200,1198,1201,293,292,293,265,264,265,36,36,36,2128,2126,2129,199,198,199
9,H2301003,11027,11009,11048,17829,17819,17843,8832,8816,8849,1013,1012,1014,1150,1147,1153,319,318,319,334,331,336,38301,38282,38317,13099,13071,13130,6677,6673,6682,5827,5819,5835,1271,1271,1272,1508,1505,1511,71705,71667,71746,11847,11841,11853,4281,4279,4282,11045,11030,11060,210389,210187,210544,19716,19696,19731,11167,11140,11193,3465,3461,3470,228719,228510,228903,4493,4489,4497
