,Sample Name,Region,variable,hand_value,chromatopy_pa,chromatopy_pa_lower,chromatopy_pa_upper,hand_ra,chromatopy_ra,chromatopy_ra_lower,chromatopy_ra_upper,chromatopy_fa,chromatopy_fa_lower,chromatopy_fa_upper,chromatopy_fa_combined_error,hand_fa
0,H2202081,marine offshore NW Africa,IIIa,6951.56787,0.0,0.0,0.0,0.00023227328791382098,0.0,,,0.0,,,,0.03471044356351744
1,H2202085,marine offshore NW Africa,IIIa,19571.6,0.0,0.0,0.0,0.0006539474211785461,0.0,,,0.0,,,,0.018604807064036253
2,H2202087,marine offshore NW Africa,IIIa,16378.4,230.2451552,0.1936409999999853,0.17835759999999823,0.0005472527766268828,0.0004779281307636024,2.8095124755065332e-05,2.850294355316659e-05,0.023899786345132058,0.0009990671372091307,0.0009902621955161458,0.0009946646663626384,0.027217376279102295
3,H2202121,Lake Malawi tropical,IIIa,472877.0,7493.32441,2.9125920000005863,2.4852359999995315,0.015800276660295907,0.01555416236821896,3.373894891257844e-05,3.329141382804822e-05,0.015960125046998237,0.0006100751097801771,0.0006035842130175303,0.0006068296613988537,0.016839643872746956
4,H2202124,Lake Malawi tropical,IIIa,82313.0,1159.533488,0.9359540000000379,0.9715499999999793,0.002750330789484236,0.0024068852697302708,2.963597048631808e-05,3.01494014807551e-05,0.008769165294934224,0.0008276075794169282,0.0008595780381579523,0.0008435928087874402,0.00992097538912577
5,H2204044,Lake Malawi tropical,IIIa,235815.0,3537.546977,1.9697320000000218,2.391341999999895,0.007879305275256947,0.007343013201461025,3.178182057699798e-05,3.309651468295757e-05,0.014920203154181959,0.0006743950414737366,0.0007492866723450353,0.0007118408569093859,0.016288297372123863
6,H2204051,Lake Malawi tropical,IIIa,283582.0,4144.393566,2.2788769999997385,2.854765000000043,0.009475347830154636,0.00860266644232556,3.242352394685364e-05,3.405845843352441e-05,0.019549799043094396,0.0007187611689208299,0.0008105587040480739,0.0007646599364844518,0.021869813030158163
7,H2305009,Issyk Kul mid latitude Asia,IIIa,95822.9,1434.379209,1.7897709999999734,1.3287870000001476,0.003201738148380802,0.0029773923953712125,3.1408269071579065e-05,3.0890931140744564e-05,0.033278988990666364,0.0012978164319531217,0.0009971234361089813,0.0011474699340310516,0.03654501065291814
8,H2305015,Issyk Kul mid latitude Asia,IIIa,7927.92773,99.19645447,0.06433751000000143,0.05860977999999761,0.0002648964772590583,0.0002059056401080091,2.782672486094716e-05,2.8254378706162957e-05,0.046254215663988074,0.0014234360184750417,0.0013772666536633763,0.0014003513360692091,0.056818742856096435
9,H2306009,Issyk Kul mid latitude Asia,IIIa,26236.2,393.5764917,0.18462850000003073,0.15238899999997102,0.0008766322289196883,0.0008169608469167801,2.807641718541096e-05,2.844903959828954e-05,0.05262999418839202,0.0005125991522984043,0.0004468396041403673,0.0004797193782193858,0.052784947068877305
10,H2306028,Issyk Kul mid latitude Asia,IIIa,11982.1,156.7222014,0.1825319999999806,0.26584850000000415,0.0004003588564707769,0.0003253138972639665,2.807206540513007e-05,2.868455155381923e-05,0.06016555358643713,0.009742791689631488,0.00929633400122788,0.009519562845429683,0.0632704804191107
11,H2307065,Alaska Loess,IIIa,1471740.0,23693.76812,9.287520000001678,8.80337999999756,0.04917536520495583,0.04918200471363419,4.6971615720036515e-05,4.640621204906342e-05,0.24517303845068122,0.0005170195350211144,0.0005082957150570997,0.000512657625039107,0.24998691243589008
