Sample Name,Region,IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,GDGT-0,GDGT-1,GDGT-2,GDGT-3,GDGT-4,GDGT-4'
H1608000013,marine offshore NW Australia,538050,,,,,,524625,722816,363363,295144,61638,129236,5227080,2110170,1190140,7419510,2766590,2810030,1290880,15428700,1188000
H1608000014,marine offshore NW Australia,,351133,,,,,228114,489996,196426,199163,44423.5,81099.7,2883330,1323870,817936,4854120,2004350,2069050,955362,12596900,1031860
H1608000189,ODP Site 846 Miocene,,,,,,,,,,,,,,,,890282,212512,211726,37534.3,1609160,150000
H1608000191,ODP Site 846 Miocene,,,,,,,,,,,,,,,,731382,160853,175127,25151,1268450,124674
H1608000196,ODP Site 846 Miocene,,,,,,,,,,,,,,,,74377.8,17956.3,16496.7,2144.07,131414,12278.8
H1712000039,Lake Bolshoye Shchuchye,406768,94506,19479.3,5479.37354,4394.57031,4273.95947,151742,61558.2,24580.6,12084,3140.30542,1302.60974,155762,26711.3,4603.20654,341840,35433.7,20559.8,6110.58057,570918,0
H1712000040,Lake Bolshoye Shchuchye,336816,68988,20261.7,4871.38281,4143.10889,3014.0769,138589,46562.5,20863.8,10001.5,2602.66235,982.64337,168007,23682.9,4098.25391,146263,20084.7,13004.9,3227.62476,211639,2069.28076
H1712000041,Lake Bolshoye Shchuchye,225777,52230.2,34923.9,5381.42334,9111.72168,3497.1936,80676.2,32333.9,23603.3,7433.06641,2948.0918,826.99609,89257.8,17119.9,3078.77979,134862,15121.2,12354.6,2985.27173,206095,1208.67493
H1712000042,Lake Bolshoye Shchuchye,234949,69510.6,29618.2,4577.54883,8139.16406,2990.79736,119521,47877.7,30471.5,10712.8,4051.33521,1151.41382,145222,27304.5,4235.88379,253008,26040.6,18845.1,3992.00977,389748,3250.32764
H1712000043,Lake Bolshoye Shchuchye,312012,102569,30317.8,6007.90332,9440.39844,2883.09961,135382,70135.7,43261.1,13565.2,5902.59619,1496.85779,165606,38235,5279.85254,368183,35744.8,22969,5704.14502,539891,4392.75244
H1712000044,Lake Bolshoye Shchuchye,533968,141055,43344,8302.85449,15030,2494.60913,199170,125675,62423.9,26080.2,11602.6,2345.11963,186322,48195.1,8226.28125,309788,34842.2,21324.2,7937.54248,469385,5166.06445
H1712000045,Lake Bolshoye Shchuchye,345314,188472,46011.8,10040.4,16184.6,4571.73438,176470,137241,70084.7,22797.4,10896.8,2419.12964,181789,47270.4,8444.51563,181672,26076.3,8308.94629,3221.45435,248587,3531.33081
H1712000046,Lake Bolshoye Shchuchye,724959,350259,67663.7,15125.5,20879.1,8023.22168,297619,215138,97469.1,30917,13807.5,4713.71631,262122,64795.6,11299.8,222492,39084,9033.875,2795.24048,307177,3671.12744
H1712000047,Lake Bolshoye Shchuchye,765551,383802,73172.2,18867.7,27810.5,5202.68018,404033,276076,140937,38450.9,23697.6,4511.73047,332314,98095.6,19450.7,406764,49138.4,11236.5,3893.80469,550779,5479.70557
H1712000048,Lake Bolshoye Shchuchye,575403,264830,52221.6,11983.6,20950.6,5047.03955,294320,196434,102822,26746.1,18252.5,4887.42578,258342,73640.9,13797.6,105168,26276.1,19617.1,3772.75806,142381,1854.77136
H1712000049,Lake Bolshoye Shchuchye,1607610,565072,133752,35371.9,80979.1,3991.24634,760400,521433,259142,32509.8,73587.7,0,757913,172766,51728.9,542696,63951.9,19144.9,5495.59131,687558,6408.19922
H1712000050,Lake Bolshoye Shchuchye,1133420,373998,51043.9,53760.3,24691.1,3018.24561,555014,366183,166130,23008.7,53261.5,0,463077,94331.3,38206.7,399663,92779.5,22511.2,4369.27783,515090,4178.28027
H1712000051,Lake Bolshoye Shchuchye,1433290,528129,72185.1,16921.2,42007.6,3400.5564,811044,487196,246334,33176,123336,0,760774,117273,82958.4,718557,78389.7,18220.6,6028.10889,1121360,9037.5498
H1801000014,Lake Bolshoye Shchuchye,1306450,460032,91015.7,0,7408.72168,3536.83618,567198,383827,2.50E+05,41489.4,74563.9,0,508597,112112,53355.9,616239,89797.7,22845.9,5934.06543,941747,8154.61475
H1801000015,Lake Bolshoye Shchuchye,2986660,1067310,179778,59729.9,125533,25238.8,1004140,785573,750310,129250,237879,27270.1,934209,345644,149733,1450800,211783,49973.6,12586.7,2364280,22592.7
H1801000016,Lake El gygytgyn,3115580,550000,117441,19762.1,30221.5,9922.32715,2511980,766242,585769,869351,117784,,2613030,343407,125647,973256,123586,41630.4,9155.63672,1070820,9708.56152
H1801000017,Lake Bolshoye Shchuchye,2110430,513867,77427.4,0,53058.5,5858.2915,640820,392637,392972,76601.8,151248,0,513281,147869,91318.3,672912,77330.2,19104.9,5232.06836,988742,8266.34473
H1801000018,Lake Bolshoye Shchuchye,1775050,390570,79299.2,28369.8,54976.7,6142.93213,669988,430284,533657,64510.3,177488,0,648878,162262,75858.3,454769,97567.3,33291.4,5306.78369,396884,5318.94775
H1801000019,Lake Bolshoye Shchuchye,1484130,380857,70285.5,27102,61379.1,2536.99268,706636,422633,371417,32229.8,225047,0,562456,122526,73417,317839,43390.4,10675.9,3211.7312,419957,0
H1801000020,Lake Bolshoye Shchuchye,3423390,642790,122973,37127.7,76053.1,3921.82837,1255660,676692,597334,52342.7,198955,0,1037400,235597,90801.4,272707,100016,22298.1,3823.78149,279712,3288.20679
H1801000110,Lake Bolshoye Shchuchye,587402,115941,36391.6,7137.48242,9874.34961,5296.90137,267252,91716.9,43163,21838.9,5932.4873,2274.49902,259698,43071.4,7623.15039,223387,31714.6,23381.2,7779.979,348671,3597.0979
H1801000111,Lake Bolshoye Shchuchye,134091,31436.6,8566.79004,1839.62744,2383.3855,0,66430.8,24256.4,10492.6,5880.97266,1639.6156,561.67627,67335.6,11409.4,1883.21606,94664.7,12708.3,8126.49316,3435.83594,155401,1360.50696
H1801000112,Lake Bolshoye Shchuchye,381275,87391.6,40590.1,7419.68262,12454.1,2733.78418,166732,65503.9,43260.6,15528.2,6893.89551,1735.06714,189255,37244.4,5923.66016,274125,37508.3,27618.7,7248.94629,481717,5279.1748
H1801000113,Lake Bolshoye Shchuchye,393293,162941,43399.7,11898.1,14543.9,5750.12891,177186,116645,53653.7,24124.2,8661.37402,2775.09766,213248,39327.7,7015.0498,587076,58300.6,34738.2,9693.07324,785976,9303.69336
H1801000114,Lake Bolshoye Shchuchye,130681,39949.3,4805.17969,1507.82654,1444.21692,0,74723,40325.6,13075.1,9412.05176,1933.95642,770.82672,96111.2,19816.4,2950.05566,38764.1,9760.13672,7613.46191,3259.47778,44151.5,1047.01855
H1801000115,Lake Bolshoye Shchuchye,507011,266281,82990.6,18319.6,32598.3,8001.51074,249150,163379,100508,31121.8,16920.1,3533.20068,234772,70687.7,10565.7,527861,54998,37676.2,10898.5,742481,5610.40723
H1801000116,Lake Bolshoye Shchuchye,761562,225874,58218.8,8514.49121,14247.3,2319.63867,303300,226110,109375,41373.7,13741.3,3136.58887,276595,75489.2,11820.1,191167,39397.6,26586.9,11230.9,264923,5269.1709
H1801000117,Lake Bolshoye Shchuchye,523105,210263,40062.2,8804.35254,16809,3145.48413,283203,211931,94526.1,39202.8,16864,3189.34717,252303,77101.5,14238.8,178476,29026.7,20943,7667.43945,285819,4336.4165
