Sample Name,Standard,Standard_lower_ci,Standard_upper_ci,GDGT-0,GDGT-0_lower_ci,GDGT-0_upper_ci,GDGT-1,GDGT-1_lower_ci,GDGT-1_upper_ci,GDGT-2,GDGT-2_lower_ci,GDGT-2_upper_ci,GDGT-3,GDGT-3_lower_ci,GDGT-3_upper_ci,GDGT-4,GDGT-4_lower_ci,GDGT-4_upper_ci,GDGT-4',GDGT-4'_lower_ci,GDGT-4'_upper_ci,IIIa,IIIa_lower_ci,IIIa_upper_ci,IIIa',IIIa'_lower_ci,IIIa'_upper_ci,IIIb,IIIb_lower_ci,IIIb_upper_ci,IIIb',IIIb'_lower_ci,IIIb'_upper_ci,IIIc,IIIc_lower_ci,IIIc_upper_ci,IIIc',IIIc'_lower_ci,IIIc'_upper_ci,IIa,IIa_lower_ci,IIa_upper_ci,IIa',IIa'_lower_ci,IIa'_upper_ci,IIb,IIb_lower_ci,IIb_upper_ci,IIb',IIb'_lower_ci,IIb'_upper_ci,IIc,IIc_lower_ci,IIc_upper_ci,IIc',IIc'_lower_ci,IIc'_upper_ci,Ia,Ia_lower_ci,Ia_upper_ci,Ib,Ib_lower_ci,Ib_upper_ci,Ic,Ic_lower_ci,Ic_upper_ci
H1608000013,10370.74554,169.3206884,102.8825157,117828.7015,4237.592238,4293.96299,44606.3818,722.2392743,607.7352229,44991.38797,564.7943727,644.1504682,19912.53212,125.5135471,150.9351294,250637.6756,2929.262328,3168.747113,19042.99677,364.8147454,236.5973983,2157.264158,23.39157349,26.89045238,7811.582801,82.72067379,81.45187463,0,0,0,,,,0,0,0,744.7159858,25.68069519,18.78350802,0,0,0,,,,7613.599688,7613.599688,383.4071985,3587.694425,1929.609918,283.2505629,1479.956801,1479.956801,64.21896096,2403.600577,183.4321782,71.22725505,79825.08391,659.699279,612.3909527,34378.91003,227.4795915,208.978303,19408.19244,113.3718319,121.9707955
H1608000014,8585.008659,8585.008659,172.3977132,77054.47767,2186.190741,2118.637446,32295.30168,9574.926099,543.0062756,33250.60111,448.8534601,499.9078644,14775.70114,142.3938052,174.4455376,205096.519,2038.797476,2277.289672,16653.12285,218.0425285,149.6687454,1081.272414,65.29431615,73.3624828,4530.055514,93.832808,89.12301803,0,0,0,,,,346.5355171,4.347449291,3.274991256,228.1142061,95.3750963,130.0681365,9094.792288,338.0427327,281.1986668,26226.72164,388.8476883,400.6795398,0,0,0,1740.02939,43.30883023,44.81632826,965.4448187,965.4448187,47.39060901,1350.757677,33.38809231,34.217607,43051.95714,526.4593614,567.3692152,21534.69122,157.8217891,170.4745207,13500.59627,34.04713565,32.06624728
H1608000189,608.396553,18.84051752,19.53628065,14017.96809,2076.431896,452.9113605,3384.240254,260.0104264,74.95893968,3269.727711,63.38507225,62.73589211,568.2248616,14.02464824,16.47385949,25426.53502,442.3802055,465.1412257,2437.467432,94.66181441,35.57393633,147.2994666,12.60332718,12.33574801,114.296502,7.129773167,7.633397162,44.2154167,3.310244653,1.860699768,14.13306967,1.532821558,0.794481063,13.71789887,5.349785389,3.460033753,0,0,0,2.334368527,1.004225258,1.536114064,0,0,0,249.9614698,5.539259868,6.564536097,0,0,0,85.60732519,1.932306068,1.705349477,0,0,0,263.027808,13.03806343,9.769614222,70.48209497,1.479688509,1.588369937,28.66257631,28.66257631,2.224546637
H1608000191,20893.32,728.1443696,184.2099324,11396.13106,417.1902901,583.1574499,2576.397165,99.36523477,57.92449568,2660.662793,63.44755543,65.40724469,373.7555238,9.823231351,10.30972571,19591.97342,401.1160272,361.0315734,2027.292172,46.16183394,23.96805875,299.1239773,299.1239773,9.152283288,139.7717811,44.10766613,52.34894345,73.33680853,63.83109062,126.083795,32.37380843,32.37380843,3.076957346,15.49802026,15.4767396,3.834377803,0,0,0,370.6351211,365.8107955,2812.164673,0,0,0,162.1024501,23.74713448,23.61679513,26.44951439,1.632846302,1.327508928,52.96408915,38.94503379,77.85937544,0,0,0,187.8984722,187.8984722,10.0845345,29.61777643,29.61777176,2.606584489,11.52006824,4.812402864,4.498539009
H1608000196,6141.838965,310.8864159,69.40906794,1186.920592,53.75139608,43.21341004,291.4669831,4.082031318,4.778743766,254.2773994,5.109832013,6.055964732,30.19371361,2.165965738,1.831787082,2083.225583,28.2861677,33.52728651,197.7421111,13.05525728,3.09803471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1712000039,5208.182589,38.34645003,35.44210427,5319.121639,67.09014326,53.19069807,588.0540863,13.11955035,12.14053914,331.291585,11.72082642,10.19932799,106.860456,3.671979665,2.44995128,9159.013257,62.92170573,63.84317889,0,0,0,6313.499171,142.9578665,123.8386943,1612.533501,307.1180973,140.1530648,337.6797826,3.269665131,3.058107274,128.5833752,128.5833752,8.616767916,81.54604551,4.476188421,2.564522283,79.80085751,3.571377319,2.688649674,2208.608894,15.60567116,18.73870945,1075.270167,24.74775097,23.79118626,388.2989645,6.783142338,7.021159599,257.7058312,8.078778184,9.006584542,57.30896088,1.669425367,0.967044834,0,0,0,2494.069263,138.1102377,64.06468737,439.6966488,7.825024261,7.849602949,81.74620628,1.878712154,1.763422093
H1712000040,4751.88455,31.60507598,26.16906007,2330.458299,24.11754489,25.21072956,296.5620179,9.817093504,9.637333736,200.2914306,7.239345374,7.897308846,51.09152866,9.335211964,10.36346569,3329.414793,18.02879668,19.10141808,0,0,0,5130.9081,130.189252,124.5089527,1189.430706,45.18147985,35.14945072,327.1005674,4.186762693,4.235945209,134.9790984,134.9790984,13.98078866,70.95503242,10.48216797,3.855208292,53.03927859,8.309887148,3.176272373,2057.538826,23.04100579,26.71854381,894.0404361,56.24426224,64.70709069,322.8096723,3.967901524,4.427691171,216.4003255,4.361202053,4.46591252,48.22719163,2.072014709,1.082525018,25.09076546,3.585670381,1.681202351,2678.91679,135.8626729,64.78565564,367.2298192,11.8133409,14.45188207,71.87599045,3.941275229,2.237978171
H1712000041,4841.177048,32.21135704,31.21774917,2166.77809,21.94043514,21.76999587,246.2933578,6.135501502,5.190310885,215.2503961,5.231595431,5.055677526,36.98079909,2.223950939,3.230913924,3276.807042,21.04609809,25.01206476,0,0,0,3642.277638,84.95277467,87.79695498,934.4675544,54.83826171,18.79153361,545.5944838,22.66206823,26.51795756,116.0337881,116.0337881,6.522353648,147.8081823,9.435135854,4.418170031,60.85187819,2.632335717,1.952090401,1236.549066,8.43843409,8.742911221,570.8787408,58.05633046,54.76914727,353.1562085,7.364733566,7.294558514,189.0440278,189.0440278,11.35972351,52.39237402,0.778950128,0.903921799,19.44408984,19.44146148,2.067530347,1460.522231,54.76055419,36.99445083,262.8109016,10.48658102,10.0447602,53.29852065,5.458445925,2.59481248
H1712000042,4917.539631,33.20082744,39.01995564,4009.236519,34.22698716,33.72243836,398.5072896,17.66297609,15.79535976,314.2800604,25.4424072,24.29838409,49.94689919,2.225947596,2.069160816,6156.651838,41.1566539,34.60920095,0,0,0,3848.985387,124.8895936,109.1824996,1239.911461,120.2909813,71.1416741,444.7928514,6.886605867,6.516746616,117.2221683,117.2221683,13.39047797,137.4125764,8.666993304,5.903023743,52.89977155,3.283971248,2.520726577,1804.51041,40.75134212,44.13238429,1058.712903,54.64196173,37.08003525,506.8083364,24.50217192,13.1263966,262.6260657,33.07073861,12.05975244,71.66626022,1.440231589,1.012485356,28.96181254,4.786214095,2.367691111,2356.653489,44.4014913,46.63160821,422.0153259,12.00052539,11.25898963,72.18382488,2.121366785,2.19636206
H1712000043,4930.254962,30.81132413,33.46517611,5743.951136,57.6141962,85.62370827,566.2383408,16.19791422,16.12328018,376.6023379,24.22212156,22.06984536,76.8976213,2.001997069,1.988256525,8525.221668,73.5495519,65.72077158,0,0,0,5128.454266,128.8707311,131.2610533,1879.236506,380.3815802,135.896333,458.994638,7.158095047,8.001871358,128.3414321,58.40736043,9.115470684,155.6733158,11.14586598,5.472921535,50.6577538,1.96033061,1.378114939,2080.084807,17.27867474,22.31816316,1296.949854,22.56382188,28.5341355,644.5918729,8.897309981,9.124871873,325.2221354,325.2221354,17.15943599,94.51875009,94.51875009,6.752186952,33.67117805,33.67117805,1.759977847,2671.140015,47.42753763,42.88402951,625.0004461,24.919814,14.95315035,90.46611536,6.404063926,2.01879089
H1712000044,5149.655521,288.3122088,158.5242145,4997.068995,45.78044435,52.80397016,579.4315684,16.6814432,15.65086446,361.8995983,23.65303724,11.39708267,129.384243,3.650813889,3.317866317,7390.942545,46.95331545,46.12356918,0,0,0,8673.032357,170.9833354,236.6941001,2572.494825,392.2012406,145.2783592,663.5872132,32.76022384,26.69581665,141.772667,25.74514283,32.37818978,244.14693,34.90425613,9.493835708,47.9881023,1.702696449,1.197125742,3006.933375,38.45729234,39.52474225,2070.599938,67.65493514,72.86200984,931.9590217,17.08582124,14.82560701,577.3403378,16.1477751,15.22472873,164.6983819,6.689659638,6.460620613,49.59403141,49.59291054,5.788000646,3040.939011,145.0791312,53.80993917,780.3735171,31.07771248,15.56143202,135.4149823,13.8209963,6.651698441
H1712000045,5315.3076,33.32383145,43.26511657,2857.472256,32.58786319,32.38108648,432.4192177,12.39134989,13.16927907,344.321768,32.79811166,32.76233389,72.63751764,10.18514187,13.81988653,3873.410183,28.8398413,30.92673684,45.74783756,45.74783756,5.112593095,5678.712877,516.5329649,206.4684208,3174.43805,348.4566672,183.0359174,761.0282901,11.60953692,15.32091587,237.4051398,29.00190963,12.8031742,262.5645069,39.35272984,10.94626142,78.34373038,5.193194314,2.640134509,2779.310341,148.0463016,158.8547861,2290.309143,712.69359,963.8748644,1019.269133,14.04719936,15.36725123,499.610492,27.9303777,33.46545102,163.5532832,4.093184211,3.607934484,56.16908552,56.16908552,5.052701003,2931.392872,67.53171366,59.3254938,786.8337581,9.953156215,10.42170233,127.702492,2.145648439,1.991999819
H1712000046,5594.764355,99.47025852,85.18760432,3494.773113,27.59016441,38.06983638,578.7832127,29.93172982,26.27362166,473.2535102,27.9109916,30.41867701,87.58646237,3.060138278,3.406069858,4871.543993,39.69435816,36.78201642,0,0,0,11646.07034,3191.556323,652.062205,5683.157862,363.8815654,261.572691,1040.085847,13.14542128,12.43624026,328.5363405,328.5363405,23.58441281,337.540233,158.6965689,18.39048667,135.7751624,7.827380423,3.821202138,4687.903624,15.00700305,16.43576341,3756.437788,68.6318369,66.59573244,1451.205448,62.25471367,67.54075915,628.0120991,30.30500138,34.85275835,206.5496805,5.220466228,5.374605243,104.2206793,14.3554265,5.800647755,4212.054092,84.58106352,84.51129927,1026.712948,25.51367333,22.13389414,186.8916865,4.164211318,3.67734451
