Sample Name,Region,variable,hand_value,chromatopy_value,chromatopy_value_lower,chromatopy_value_upper,hand_ra,chromatopy_ra,chromatopy_ra_lower,chromatopy_ra_upper,chromatopy_fa,chromatopy_fa_lower,chromatopy_fa_upper,chromatopy_fa_combined_error,hand_fa,sud_value,chromatopy_value_PA
H1801000014,Lake Bolshoye Shchuchye,IIb,249558,4173,25,21,0,0,0,0,0,0,0,0,0,4151,4173
H2308012,lake in Croatia,GDGT-0,40919,658,0,0,0,0,0,0,1,0,0,0,0,645,658
H1608000189,ODP Site 846 Miocene,GDGT-0,890282,14151,19,20,0,0,0,0,0,0,0,0,0,0,14151
H1608000013,marine offshore NW Australia,GDGT-4,15428700,251108,342,438,1,1,0,0,1,0,0,0,1,251969,251108
H1801000125,Lake Bolshoye Shchuchye,GDGT-4,700816,11428,10,11,0,0,0,0,1,0,0,0,1,11494,11428
H2202087,marine offshore NW Africa,IIIb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2202087,marine offshore NW Africa,IIIb',26082,383,0,0,0,0,0,0,0,0,0,0,0,0,0
H1801000014,Lake Bolshoye Shchuchye,IIb,383827,4173,25,21,0,0,0,0,0,0,0,0,0,4151,4173
H2308012,lake in Croatia,GDGT-0,40919,658,0,0,0,0,0,0,0,0,0,0,0,645,658
H1608000189,ODP Site 846 Miocene,GDGT-0,890282,14151,19,20,0,0,0,0,0,0,0,0,0,14135,14151
H1608000013,marine offshore NW Australia,GDGT-4,15428700,251108,342,438,1,1,0,0,1,0,0,0,0,251969,251108
H1801000125,Lake Bolshoye Shchuchye,GDGT-4,700816,11428,10,11,0,0,0,0,1,0,0,0,0,11494,11428
